Tanggal;Terinfeksi;Sembuh;Meninggal;Total Kasus;S-Sembuh;S-Meninggal;Removed;Susceptible
02/03/2021;1351;8024;197;9572;268;3;8221;2490428
02/04/2021;1103;8452;202;9757;428;5;8654;2490243
02/05/2021;1103;8452;202;9757;0;0;8654;2490243
02/06/2021;1227;8591;203;10021;139;1;8794;2489979
02/07/2021;1293;8597;206;10096;6;3;8803;2489904
02/08/2021;1249;8719;207;10175;122;1;8926;2489825
02/09/2021;1249;8719;207;10175;0;0;8926;2489825
02/10/2021;982;9136;208;10326;417;1;9344;2489674
02/11/2021;995;9275;215;10485;139;7;9490;2489515
02/12/2021;890;9516;216;10622;241;1;9732;2489378
2/13/2021;1003;9520;216;10739;4;0;9736;2489261
2/14/2021;1003;9520;216;10739;0;0;9736;2489261
2/15/2021;1108;9613;218;10939;93;2;9831;2489061
2/16/2021;875;10021;224;11120;408;6;10245;2488880
2/17/2021;988;10064;225;11277;43;1;10289;2488723
2/18/2021;988;10064;225;11277;0;0;10289;2488723
2/19/2021;897;10314;228;11439;250;3;10542;2488561
2/20/2021;861;10410;228;11499;96;0;10638;2488501
2/21/2021;946;10434;229;11612;24;1;10663;2488391
2/22/2021;1055;10434;233;11722;0;4;10667;2488278
2/23/2021;1055;10434;233;11722;0;0;10667;2488278
2/24/2021;1049;10784;241;12074;350;8;11025;2487926
2/25/2021;1205;10846;242;12293;62;1;11088;2487707
2/26/2021;1187;11054;242;12483;208;0;11296;2487517
2/27/2021;1187;11054;242;12483;0;0;11296;2487517
2/28/2021;1319;11141;244;12704;87;2;11385;2487296
03/01/2021;1379;11219;244;12842;78;0;11463;2487158
03/02/2021;1166;11556;246;12968;337;2;11802;2487032
03/03/2021;1183;11664;246;13093;108;0;11910;2486907
03/04/2021;1183;11664;246;13093;0;0;11910;2486907
03/05/2021;1198;11929;251;13378;265;5;12180;2486622
03/06/2021;1143;12071;251;13465;142;0;12322;2486535
03/07/2021;1192;12110;253;13555;39;2;12363;2486445
03/08/2021;1192;12110;253;13555;0;0;12363;2486445
03/09/2021;1204;12288;255;13747;178;2;12543;2486253
03/10/2021;1276;12295;255;13826;7;0;12550;2486174
03/11/2021;978;12683;255;13916;388;0;12938;2486084
03/12/2021;978;12683;255;13916;0;0;12938;2486084
3/13/2021;943;12947;257;14147;264;2;13204;2485853
3/14/2021;906;13062;258;14226;115;1;13320;2485774
3/15/2021;958;13102;260;14320;40;2;13362;2485680
3/16/2021;1002;13126;262;14390;24;2;13388;2485610
3/17/2021;1002;13126;262;14390;0;0;13388;2485610
3/18/2021;867;13457;265;14589;331;3;13722;2485411
3/19/2021;854;13541;265;14660;84;0;13806;2485340
3/20/2021;905;13553;266;14724;12;1;13819;2485276
3/21/2021;905;13553;266;14724;0;0;13819;2485276
3/22/2021;735;13842;267;14844;289;1;14109;2485156
3/23/2021;778;13855;268;14901;13;1;14123;2485099
3/24/2021;743;13953;268;14964;98;0;14221;2485036
3/25/2021;715;14048;268;15031;95;0;14316;2484969
3/26/2021;715;14048;268;15031;0;0;14316;2484969
3/27/2021;618;14270;269;15157;222;1;14539;2484843
3/28/2021;693;14285;271;15249;15;2;14556;2484751
3/29/2021;717;14333;271;15321;48;0;14604;2484679
3/30/2021;717;14333;271;15321;0;0;14604;2484679
3/31/2021;679;14494;271;15444;161;0;14765;2484556
04/01/2021;694;14538;273;15505;44;2;14811;2484495
04/02/2021;720;14614;273;15607;76;0;14887;2484393
04/03/2021;759;14614;273;15646;0;0;14887;2484354
04/04/2021;759;14614;273;15646;0;0;14887;2484354
04/05/2021;671;14779;279;15729;165;6;15058;2484271
04/06/2021;720;14800;280;15800;21;1;15080;2484200
04/07/2021;638;14932;280;15850;132;0;15212;2484150
04/08/2021;638;14932;280;15850;0;0;15212;2484150
